i j mp formula
3 1 mp-25015 LiMn2O4
3 2 mp-25015 LiMn2O4
3 3 mp-25015 LiMn2O4
4 4 mp-25015 LiMn2O4
5 5 mp-25015 LiMn2O4
6 6 mp-25015 LiMn2O4
1 1 mp-16271 Li2CdSb
1 2 mp-16271 Li2CdSb
1 3 mp-16271 Li2CdSb
2 1 mp-16271 Li2CdSb
2 2 mp-16271 Li2CdSb
2 3 mp-16271 Li2CdSb
3 1 mp-16271 Li2CdSb
3 2 mp-16271 Li2CdSb
3 3 mp-16271 Li2CdSb
4 4 mp-16271 Li2CdSb
5 5 mp-16271 Li2CdSb
6 6 mp-16271 Li2CdSb
1 1 mp-755309 Li3NbS4
2 2 mp-755309 Li3NbS4
3 3 mp-755309 Li3NbS4
4 4 mp-755309 Li3NbS4
5 5 mp-755309 Li3NbS4
6 6 mp-755309 Li3NbS4
1 1 mp-10182 LiZnP
1 2 mp-10182 LiZnP
1 3 mp-10182 LiZnP
2 1 mp-10182 LiZnP
2 2 mp-10182 LiZnP
2 3 mp-10182 LiZnP
3 1 mp-10182 LiZnP
3 2 mp-10182 LiZnP
3 3 mp-10182 LiZnP
4 4 mp-10182 LiZnP
5 5 mp-10182 LiZnP
6 6 mp-10182 LiZnP
1 1 mp-30405 Li2SnAu
1 2 mp-30405 Li2SnAu
1 3 mp-30405 Li2SnAu
2 1 mp-30405 Li2SnAu
2 2 mp-30405 Li2SnAu
2 3 mp-30405 Li2SnAu
3 1 mp-30405 Li2SnAu
3 2 mp-30405 Li2SnAu
3 3 mp-30405 Li2SnAu
4 4 mp-30405 Li2SnAu
5 5 mp-30405 Li2SnAu
6 6 mp-30405 Li2SnAu
1 1 mp-5670 LiTi2O4
1 2 mp-5670 LiTi2O4
1 3 mp-5670 LiTi2O4
2 1 mp-5670 LiTi2O4
2 2 mp-5670 LiTi2O4
2 3 mp-5670 LiTi2O4
3 1 mp-5670 LiTi2O4
3 2 mp-5670 LiTi2O4
3 3 mp-5670 LiTi2O4
4 4 mp-5670 LiTi2O4
5 5 mp-5670 LiTi2O4
6 6 mp-5670 LiTi2O4
1 1 mp-7473 LiSiCu2
1 2 mp-7473 LiSiCu2
1 3 mp-7473 LiSiCu2
2 1 mp-7473 LiSiCu2
2 2 mp-7473 LiSiCu2
2 3 mp-7473 LiSiCu2
3 1 mp-7473 LiSiCu2
3 2 mp-7473 LiSiCu2
3 3 mp-7473 LiSiCu2
4 4 mp-7473 LiSiCu2
5 5 mp-7473 LiSiCu2
6 6 mp-7473 LiSiCu2
1 1 mp-862657 LiCuPd2
1 2 mp-862657 LiCuPd2
1 3 mp-862657 LiCuPd2
2 1 mp-862657 LiCuPd2
2 2 mp-862657 LiCuPd2
2 3 mp-862657 LiCuPd2
3 1 mp-862657 LiCuPd2
3 2 mp-862657 LiCuPd2
3 3 mp-862657 LiCuPd2
4 4 mp-862657 LiCuPd2
5 5 mp-862657 LiCuPd2
6 6 mp-862657 LiCuPd2
1 1 mp-10180 Li2SbPd
1 2 mp-10180 Li2SbPd
1 3 mp-10180 Li2SbPd
2 1 mp-10180 Li2SbPd
2 2 mp-10180 Li2SbPd
2 3 mp-10180 Li2SbPd
3 1 mp-10180 Li2SbPd
3 2 mp-10180 Li2SbPd
3 3 mp-10180 Li2SbPd
4 4 mp-10180 Li2SbPd
5 5 mp-10180 Li2SbPd
6 6 mp-10180 Li2SbPd
1 1 mp-865444 LiSc2Pt
1 2 mp-865444 LiSc2Pt
1 3 mp-865444 LiSc2Pt
2 1 mp-865444 LiSc2Pt
2 2 mp-865444 LiSc2Pt
2 3 mp-865444 LiSc2Pt
3 1 mp-865444 LiSc2Pt
3 2 mp-865444 LiSc2Pt
3 3 mp-865444 LiSc2Pt
4 4 mp-865444 LiSc2Pt
5 5 mp-865444 LiSc2Pt
6 6 mp-865444 LiSc2Pt
1 1 mp-30820 Li2AlRh
1 2 mp-30820 Li2AlRh
1 3 mp-30820 Li2AlRh
2 1 mp-30820 Li2AlRh
2 2 mp-30820 Li2AlRh
2 3 mp-30820 Li2AlRh
3 1 mp-30820 Li2AlRh
3 2 mp-30820 Li2AlRh
3 3 mp-30820 Li2AlRh
4 4 mp-30820 Li2AlRh
5 5 mp-30820 Li2AlRh
6 6 mp-30820 Li2AlRh
1 1 mp-10181 LiSiNi2
1 2 mp-10181 LiSiNi2
1 3 mp-10181 LiSiNi2
2 1 mp-10181 LiSiNi2
2 2 mp-10181 LiSiNi2
2 3 mp-10181 LiSiNi2
3 1 mp-10181 LiSiNi2
3 2 mp-10181 LiSiNi2
